ID	NC_005088	NC_007337	NC_008459	NC_001735
NC_007337.1_22	0	1	0	0
NC_007337.1_16	0	1	0	0
NC_005088.1_37	1	0	0	1
NC_005088.1_12	1	0	0	0
NC_007337.1_18	0	1	0	0
NC_001735.4_22	1	1	1	1
NC_001735.4_28	1	1	1	1
NC_001735.4_45	1	0	0	1
NC_005088.1_27	1	1	1	1
NC_007337.1_12	0	1	0	0
NC_007337.1_7	1	1	0	1
NC_005088.1_47	1	0	0	0
NC_007337.1_14	0	1	0	0
NC_005088.1_45	1	0	0	0
NC_005088.1_5	1	0	0	0
NC_005088.1_40	1	1	0	0
NC_005088.1_11	1	0	0	0
NC_005088.1_8	1	0	0	0
NC_008459.1_40	1	1	1	1
NC_008459.1_25	1	1	1	1
NC_001735.4_40	0	0	0	1
NC_007337.1_10	1	1	1	1
NC_008459.1_7	0	0	1	0
NC_007337.1_11	1	1	0	1
NC_007337.1_47	0	1	0	0
NC_007337.1_23	0	1	0	0
NC_007337.1_15	0	1	0	0
NC_005088.1_13	1	0	0	0
NC_005088.1_6	1	0	0	0
NC_001735.4_56	1	1	1	1
NC_001735.4_53	1	1	1	1
NC_001735.4_46	1	0	0	1
NC_005088.1_38	1	1	0	0
NC_001735.4_43	1	0	0	1
NC_005088.1_46	1	0	0	0
NC_005088.1_42	1	1	0	0
NC_005088.1_50	1	0	0	0
NC_008459.1_35	0	0	1	0
NC_008459.1_12	0	0	1	0
NC_007337.1_43	0	1	0	0
NC_007337.1_54	0	1	0	0
NC_008459.1_3	1	1	1	1
NC_005088.1_44	1	1	0	0
NC_007337.1_28	0	1	0	0
NC_007337.1_21	0	1	0	0
NC_007337.1_20	0	1	0	0
NC_005088.1_2	1	0	0	0
NC_005088.1_16	1	0	0	0
NC_001735.4_42	0	0	0	1
NC_001735.4_13	0	0	0	1
NC_005088.1_15	1	0	0	0
NC_007337.1_51	2	1	0	0
NC_007337.1_48	0	1	0	0
NC_005088.1_10	1	0	0	0
NC_005088.1_34	1	0	0	1
NC_007337.1_27	0	1	0	0
NC_007337.1_46	0	1	0	0
NC_007337.1_34	0	1	0	0
NC_007337.1_29	0	1	0	0
NC_007337.1_57	1	1	0	0
NC_007337.1_26	0	1	0	0
NC_007337.1_6	1	1	1	1
NC_007337.1_55	1	1	0	0
NC_007337.1_52	2	1	0	0
NC_007337.1_31	0	1	0	0
NC_005088.1_67	1	1	1	1
NC_007337.1_42	0	1	0	0
NC_007337.1_33	0	1	0	0
NC_001735.4_10	1	1	1	1
NC_001735.4_15	1	0	0	1
NC_008459.1_8	0	0	1	0
NC_001735.4_41	0	0	0	1
NC_001735.4_18	0	0	0	1
NC_007337.1_81	1	1	0	1
NC_001735.4_52	1	1	1	1
NC_007337.1_56	1	1	0	0
NC_007337.1_80	0	1	1	0
NC_007337.1_78	0	1	1	1
NC_001735.4_33	1	1	1	1
NC_001735.4_36	1	1	1	1
NC_007337.1_79	0	1	1	1
NC_007337.1_74	1	1	1	1
NC_007337.1_24	0	1	0	0
NC_007337.1_37	0	1	0	0
NC_007337.1_30	0	1	0	0
NC_007337.1_25	0	1	0	0
NC_007337.1_36	0	1	0	0
NC_001735.4_7	1	1	0	1
NC_001735.4_44	1	0	0	1
NC_007337.1_32	0	1	0	0
NC_001735.4_9	1	0	0	1
NC_001735.4_1	1	1	1	1
NC_005088.1_26	1	1	1	1
NC_007337.1_85	1	1	1	1
NC_008459.1_19	1	1	1	1
NC_005088.1_31	1	1	1	1
NC_005088.1_33	1	1	1	1
NC_007337.1_17	3	2	0	0
NC_005088.1_17	1	1	1	1
NC_005088.1_22	1	1	1	1
NC_001735.4_32	1	1	1	1
NC_001735.4_29	1	1	1	1
NC_001735.4_2	1	1	1	1
NC_001735.4_5	1	1	1	1
NC_001735.4_27	1	1	1	1
NC_007337.1_63	1	1	1	1
NC_005088.1_55	1	1	1	1
NC_005088.1_60	1	1	1	1
NC_007337.1_4	1	1	1	1
NC_007337.1_49	0	1	0	0
NC_001735.4_24	1	1	1	1
NC_008459.1_37	1	1	1	1
NC_001735.4_48	1	1	1	1
NC_001735.4_12	1	1	1	1
NC_001735.4_54	1	1	1	1
NC_007337.1_60	1	1	0	0
NC_008459.1_14	1	0	1	1
NC_008459.1_13	0	0	1	0
NC_008459.1_10	1	1	1	1
NC_001735.4_11	1	1	1	1
NC_001735.4_8	1	0	0	1
NC_007337.1_45	0	1	0	0
NC_007337.1_39	0	1	0	0
NC_007337.1_35	0	2	0	0
NC_005088.1_68	1	0	0	1
NC_005088.1_64	1	1	1	1
NC_007337.1_59	1	1	0	0
NC_001735.4_16	0	0	0	2
NC_005088.1_3	1	0	0	0
NC_007337.1_19	0	1	0	0
NC_005088.1_9	1	0	0	0
NC_005088.1_4	1	0	0	0
NC_007337.1_44	0	1	0	0
NC_007337.1_58	1	1	0	0
NC_007337.1_50	0	1	0	0
NC_007337.1_41	0	1	0	0
NC_007337.1_40	0	1	0	0
NC_005088.1_41	1	0	0	0
NC_007337.1_9	0	1	0	0
NC_005088.1_49	1	0	0	0
NC_005088.1_48	1	0	0	0
NC_007337.1_8	1	1	0	1
NC_001735.4_17	0	0	0	1
NC_001735.4_14	0	0	0	1
NC_005088.1_51	1	0	0	0
NC_001735.4_19	0	0	0	1
